wl,n,k
2.95E-02,0.887314,0.187
3.00E-02,0.883526,0.188
3.06E-02,0.877279,0.191
3.12E-02,0.870667,0.199
3.18E-02,0.865582,0.209
3.24E-02,0.862174,0.22
3.30E-02,0.860291,0.231
3.36E-02,0.859091,0.241
3.42E-02,0.858507,0.252
3.49E-02,0.858497,0.262
3.55E-02,0.859036,0.273
3.62E-02,0.860235,0.283
3.69E-02,0.861649,0.293
3.76E-02,0.863507,0.303
3.83E-02,0.865407,0.312
3.90E-02,0.867515,0.322
3.98E-02,0.870103,0.331
4.05E-02,0.872251,0.339
4.13E-02,0.874093,0.348
4.20E-02,0.876263,0.357
4.28E-02,0.878275,0.365
4.36E-02,0.87964,0.373
4.45E-02,0.880129,0.381
4.53E-02,0.880275,0.391
4.62E-02,0.881184,0.402
4.70E-02,0.882563,0.412
4.79E-02,0.883251,0.421
4.88E-02,0.881493,0.429
4.97E-02,0.878349,0.443
5.07E-02,0.877114,0.461
5.16E-02,0.878412,0.48
5.26E-02,0.882654,0.501001
5.36E-02,0.891949,0.522999
5.46E-02,0.903256,0.535
5.56E-02,0.9099,0.542
5.67E-02,0.914526,0.558
5.78E-02,0.92129,0.574
5.88E-02,0.929812,0.591
5.99E-02,0.941993,0.609
6.11E-02,0.954689,0.617
6.22E-02,0.96276,0.623
6.34E-02,0.967331,0.633
6.46E-02,0.972348,0.649001
6.58E-02,0.979227,0.665
6.71E-02,0.988735,0.684001
6.83E-02,0.99924,0.697
6.96E-02,1.008544,0.712
7.09E-02,1.01816,0.728
7.23E-02,1.026595,0.743
7.36E-02,1.038517,0.770001
7.50E-02,1.058245,0.792
7.64E-02,1.078446,0.802
7.79E-02,1.09483,0.811
7.93E-02,1.107957,0.819
8.08E-02,1.113578,0.824
8.23E-02,1.118704,0.853
8.39E-02,1.135462,0.886998
8.55E-02,1.159903,0.910999
8.71E-02,1.182587,0.926001
8.87E-02,1.209856,0.956
9.04E-02,1.222391,0.943001
9.21E-02,1.255146,1.04
9.38E-02,1.32313,1.04
9.56E-02,1.355658,1.000001
9.74E-02,1.381876,1.039997
9.92E-02,1.423695,1.04
1.01E-01,1.462605,1.05
1.03E-01,1.516706,1.069999
1.05E-01,1.572582,1.040002
1.07E-01,1.611368,1.01
1.09E-01,1.640192,0.982642
1.11E-01,1.666027,0.96411
1.13E-01,1.689775,0.9383
1.15E-01,1.705699,0.911129
1.17E-01,1.719929,0.898454
1.20E-01,1.73764,0.880978
1.22E-01,1.741873,0.842602
1.24E-01,1.745046,0.853835
1.26E-01,1.760641,0.844727
1.29E-01,1.77691,0.836531
1.31E-01,1.791499,0.817832
1.34E-01,1.80194,0.801912
1.36E-01,1.808534,0.782211
1.39E-01,1.809249,0.765015
1.41E-01,1.80675,0.755215
1.44E-01,1.803693,0.750299
1.47E-01,1.802791,0.752538
1.50E-01,1.803949,0.753066
1.52E-01,1.807081,0.758887
1.55E-01,1.81343,0.762572
1.58E-01,1.816681,0.758419
1.61E-01,1.815331,0.763733
1.64E-01,1.819607,0.783252
1.67E-01,1.82787,0.790552
1.71E-01,1.833097,0.802448
1.74E-01,1.84264,0.827663
1.77E-01,1.859949,0.850703
1.80E-01,1.886402,0.877517
1.84E-01,1.907338,0.873986
1.87E-01,1.927943,0.913957
1.91E-01,1.97103,0.950735
1.94E-01,2.018102,0.954682
1.98E-01,2.065739,0.976125
2.02E-01,2.124363,0.98747
2.05E-01,2.187821,0.98585
2.09E-01,2.252461,0.97423
2.13E-01,2.317765,0.954646
2.17E-01,2.383453,0.925142
2.21E-01,2.448583,0.884836
2.26E-01,2.510247,0.828696
2.30E-01,2.559918,0.752588
2.34E-01,2.592864,0.672583
2.39E-01,2.610037,0.591242
2.43E-01,2.614369,0.518054
2.48E-01,2.611533,0.452457
2.52E-01,2.601842,0.387131
2.57E-01,2.583646,0.326981
2.62E-01,2.5585,0.274948
2.67E-01,2.529054,0.232703
2.72E-01,2.498146,0.200034
2.77E-01,2.468192,0.175849
2.82E-01,2.440879,0.158014
2.88E-01,2.416946,0.144266
2.93E-01,2.39603,0.132192
2.98E-01,2.377475,0.121522
3.04E-01,2.361544,0.112057
3.10E-01,2.344878,0.097244
3.16E-01,2.327401,0.090259
3.22E-01,2.313067,0.08489
3.28E-01,2.299073,0.075455
3.34E-01,2.284646,0.07085
3.40E-01,2.272668,0.068438
3.47E-01,2.262346,0.063965
3.53E-01,2.25238,0.059838
3.60E-01,2.242995,0.056106
3.67E-01,2.234227,0.052575
3.73E-01,2.225945,0.049079
3.80E-01,2.218046,0.045771
3.88E-01,2.210459,0.04257
3.95E-01,2.203195,0.039735
4.02E-01,2.196309,0.037077
4.10E-01,2.189773,0.034591
4.18E-01,2.183516,0.03215
4.26E-01,2.177509,0.029938
4.34E-01,2.171784,0.027862
4.42E-01,2.166291,0.025847
4.50E-01,2.160999,0.023992
4.59E-01,2.155916,0.02226
4.67E-01,2.151042,0.020672
4.76E-01,2.146366,0.01916
4.85E-01,2.141875,0.017776
4.94E-01,2.137538,0.016424
5.03E-01,2.133353,0.015261
5.13E-01,2.129353,0.014182
5.23E-01,2.12552,0.013182
5.32E-01,2.121802,0.012206
5.42E-01,2.118237,0.011465
5.53E-01,2.114865,0.010744
5.63E-01,2.111633,0.010065
5.74E-01,2.108538,0.009478
5.84E-01,2.105606,0.008958
5.96E-01,2.10278,0.008386
6.07E-01,2.100052,0.007976
6.18E-01,2.097506,0.00766
6.30E-01,2.095102,0.007266
6.42E-01,2.092795,0.006922
6.54E-01,2.090601,0.006599
6.66E-01,2.088483,0.006256
6.79E-01,2.086529,0.00612
6.91E-01,2.084691,0.005687
7.04E-01,2.082859,0.005339
7.18E-01,2.081029,0.004917
7.31E-01,2.07927,0.004765
7.45E-01,2.077617,0.004474
7.59E-01,2.076014,0.004288
7.73E-01,2.074499,0.004105
7.88E-01,2.073057,0.003927
8.03E-01,2.071678,0.003752
8.18E-01,2.070356,0.00358
8.33E-01,2.069088,0.003417
8.49E-01,2.067873,0.003264
8.65E-01,2.06671,0.003113
8.81E-01,2.065595,0.002965
8.98E-01,2.064523,0.002819
9.15E-01,2.063492,0.002676
9.32E-01,2.0625,0.002535
9.50E-01,2.061544,0.002397
9.68E-01,2.060621,0.00226
9.86E-01,2.059728,0.002126
1.00E+00,2.058858,0.001993
1.02E+00,2.058014,0.001883
1.04E+00,2.057206,0.001791
1.06E+00,2.056435,0.001702
1.08E+00,2.055695,0.001614
1.10E+00,2.054984,0.001527
1.12E+00,2.0543,0.001442
1.14E+00,2.05364,0.001359
1.17E+00,2.053003,0.001277
1.19E+00,2.052387,0.001197
1.21E+00,2.05179,0.001118
1.23E+00,2.051209,0.00104
1.26E+00,2.050644,0.000974
1.28E+00,2.050097,0.000912
1.30E+00,2.049564,0.000852
1.33E+00,2.049043,0.000807
1.35E+00,2.048546,0.00079
1.38E+00,2.048078,0.000773
1.41E+00,2.047633,0.000757
1.43E+00,2.047209,0.000741
1.46E+00,2.046804,0.000725
1.49E+00,2.046415,0.00071
1.51E+00,2.046043,0.000694